Historia,Titulo Historia,Data-Lake,Chave,Titulo,Status,Data Criacao,Data Atualizacao,Quantidade Subtarefas,Categoria_Analise,Data Inicio Esperada,Data Fim Esperada
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4341,4 [Preparo Ambiente]Incrementar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING),Done,2025-12-03T16:35:16.128-0300,2025-12-17T07:54:38.976-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4340,3 [Preparo Ambiente]Garantir chegada e acessos das interfaces em produção (Responsavel: STELLANTIS),Done,2025-12-03T16:35:14.283-0300,2026-02-20T09:19:33.715-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4339,2 [Preparo Ambiente]Estruturar a Entrada do Lakehousein ou Lakehouseout garantindo a execução correta do processo em PROD (Responsavel: STELLANTIS/ Apoio: DEV),Done,2025-12-03T16:35:12.933-0300,2026-02-20T09:19:33.535-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-4338,1 [Preparo Ambiente] Verificar Execução Baseada em Eventos e Stagings que executam em outras DAGs (Responsavel: STELLANTIS/ Apoio: DEV),Done,2025-12-03T16:35:11.384-0300,2026-02-20T09:19:19.153-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3720,Homologação - 18/11/25: [3]data-lake-brain-carga-nfe-serviços,Done,2025-11-18T16:05:01.132-0300,2026-02-06T17:02:29.653-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3263,IAC- Lambdas Nota Fiscal - nota_fiscal_dgr_nfe_servicos e nota_fiscal_nfe_servicos,Done,2025-10-27T16:55:24.509-0300,2025-11-18T16:03:57.018-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3076,8 [Preparo Ambiente]Analisar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING);,OPEN,2025-10-27T11:54:12.175-0300,2025-10-27T11:54:12.323-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3075,7 [Preparo Ambiente]Cópiar tabelas (Responsavel: STELLANTIS/Apoio: DEV),OPEN,2025-10-27T11:54:10.704-0300,2025-10-27T11:54:10.851-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3074,6 [Preparo Ambiente]Executar processo em PROD (Responsavel: DEVOPS/ Apoio: DEV),In Progress,2025-10-27T11:54:09.121-0300,2026-03-11T09:39:45.488-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3073,"5 [Preparo Ambiente]Listar Processos Fora do Framework (Lambda, Glue, Kafka, Snowflake, Airflow) (Responsavel: DEV/Apoio: DEVOPS)",In Progress,2025-10-27T11:54:07.570-0300,2026-03-11T09:39:12.481-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3072,4 [Preparo Ambiente]Incrementar no Power BI as tabelas a serem comparadas (BIG QUERY X SNOWFLAKE) (Responsavel: ONGOING),OPEN,2025-10-27T11:54:06.013-0300,2025-10-27T11:54:06.191-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3071,3 [Preparo Ambiente]Garantir chegada e acessos das interfaces em produção (Responsavel: STELLANTIS),OPEN,2025-10-27T11:54:04.515-0300,2025-10-27T11:54:04.655-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3070,2 [Preparo Ambiente]Estruturar a Entrada do Lakehousein ou Lakehouseout garantindo a execução correta do processo em PROD (Responsavel: STELLANTIS/ Apoio: DEV),OPEN,2025-10-27T11:54:03.100-0300,2025-10-27T11:54:03.214-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1174,[Brain] - Nota Fiscal,Brain,TOAWS-3069,1 [Preparo Ambiente] Verificar Execução Baseada em Eventos e Stagings que executam em outras DAGs (Responsavel: STELLANTIS/ Apoio: DEV),OPEN,2025-10-27T11:54:01.596-0300,2025-11-13T17:06:53.523-0300,0,Desenvolvimento/Outros,2025-10-06,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-2291,Homologação - 12/12 - [1] data-lake-brain-carga-ordem-servico,Done,2025-08-12T15:15:43.856-0300,2026-02-20T09:29:33.764-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-2290,Documento de Teste,Done,2025-08-12T15:15:37.158-0300,2025-12-12T18:07:19.113-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-2289,7.1 tb_ibm_ordem_venda_s721,Done,2025-08-12T15:15:25.832-0300,2026-01-27T11:39:19.977-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-2288,6.9 tb_ordem_servico_psa_fca,Canceled,2025-08-12T15:14:46.067-0300,2025-12-11T12:59:56.912-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
TOAWS-1175,[Brain] Ordem Serviço,Brain,TOAWS-2287,6.8 tb_ordem_servico_1,Canceled,2025-08-12T15:14:39.432-0300,2025-12-11T12:59:15.784-0300,0,Desenvolvimento/Outros,2025-11-17,2026-02-06
